V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,LocationLatitude,LocationLongitude,LocationAccuracy,
R_2y3GxNSHOHPqkGl,Default Response Set,Anonymous,,,180.215.111.114,0,2015-03-03 04:11:22,2015-03-03 04:19:21,1,1,neotheicebird,Firefox,30.0,Ubuntu,1600x900,11.2.202,,Mozilla/5.0 (X11; Ubuntu; Linux i686; rv:30.0) Gecko/20100101 Firefox/30.0,Male,20-25 years old,Undergraduate/Bachelor's degree,Python,Freelance developer,IN - India,"5.5,(GMT+05:30) Chennai",10-completely willing,12,12,16,16,13.083297729492,80.283294677734,-1,
R_b2CynErQW5IhkIN,Default Response Set,Anonymous,,,92.60.238.119,0,2015-03-03 04:22:08,2015-03-03 04:23:32,1,1,dexy,Firefox,35.0,Windows NT 6.1,1280x720,16.0.0,,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0,Male,31-40 years,Postgraduate/Master of arts,C++,PhD Student,RS - Serbia,"1,(GMT+01:00) Belgrade",8,7,7,7,7,43.32470703125,21.903305053711,-1,
R_wZOZp7iX4MdgjxD,Default Response Set,Anonymous,,,195.16.111.164,0,2015-03-03 01:50:23,2015-03-03 04:41:01,1,1,yrtchn,Firefox,35.0,Windows NT 6.1,1280x720,16.0.0,1,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0,Male,31-40 years,Undergraduate/Bachelor's degree,C#,full-time employment,RU - Russia,"3,(GMT+03:00) Moscow",3,6,6,6,8,55.752197265625,37.615600585938,-1,
R_30uyBtko8cud3jR,Default Response Set,Anonymous,,,195.16.111.164,8,2015-03-03 04:43:12,2015-03-03 04:45:56,1,1,yrtchn,Firefox,35.0,Windows NT 6.1,1280x720,16.0.0,1,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0,Male,31-40 years,Undergraduate/Bachelor's degree,C#,full-time employment,RU - Russia,"3,(GMT+03:00) Moscow",3,6,6,6,8,55.752197265625,37.615600585938,-1,
R_41qm0HMrEPVsRzD,Default Response Set,Anonymous,,,188.127.98.204,0,2015-03-03 04:45:48,2015-03-03 04:50:23,1,1,gondzo,Chrome,40.0.2214.115,Windows NT 6.1,1920x1080,16.0.0,1,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36 OPR/27.0.1689.76",Male,26-30 years,Postgraduate/Master of arts,C++,employed/applying to phd,BA - Bosnia and Herzegovina,"1,(GMT+01:00) Sarajevo",5,8,6,6,10,43.850006103516,18.38330078125,-1,
R_DUGWYxtODxaLqRX,Default Response Set,Anonymous,,,115.248.114.51,0,2015-03-03 04:48:48,2015-03-03 04:51:10,1,1,sakaark,Chrome,39.0.2171.95,Linux x86_64,1366x768,16.0.0,1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36",Male,20-25 years old,Undergraduate/Bachelor's degree,C++,Pursuing M. Tech,IN - India,"5.5,(GMT+05:30) New Delhi",7,10,4,0,0,26.466705322266,80.350006103516,-1,
R_ByryX7MmoTsDiCt,Default Response Set,Anonymous,,,115.248.114.51,8,2015-03-03 04:55:16,2015-03-03 04:56:29,1,1,sakaark,Chrome,39.0.2171.95,Linux x86_64,1366x768,16.0.0,1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36",Male,20-25 years old,Undergraduate/Bachelor's degree,C++,Pursuing M. Tech,IN - India,"5.5,(GMT+05:30) New Delhi",7,10,4,0,0,26.466705322266,80.350006103516,-1,
R_x3kDcTiBgFBfROp,Default Response Set,Anonymous,,,84.201.233.5,0,2015-03-03 04:55:51,2015-03-03 05:00:06,1,1,ivan_metelsky,Chrome,40.0.2214.115,Windows NT 6.2,1920x1080,16.0.0,1,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36",Male,26-30 years,Postgraduate/Master of arts,Java,Independent consultant in quantitative research,RU - Russia,"2,(GMT+02:00) Minsk",2,6,6,6,12,53.899993896484,27.566696166992,-1,
R_337SXcLrgrKN7DM,Default Response Set,Anonymous,,,217.67.214.203,0,2015-03-03 04:59:23,2015-03-03 05:01:08,1,1,cant_dance,Chrome,39.0.2171.65,Linux x86_64,1600x900,-1,1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/39.0.2171.65 Chrome/39.0.2171.65 Safari/537.36",Male,31-40 years,Doctorate/PhD,C++,Associate Professor,PL - Poland,"1,(GMT+01:00) Warsaw",3,6,6,6,12,52.25,21,-1,
R_1Qt5d6UcPiPcZiH,Default Response Set,Anonymous,,,124.100.69.193,0,2015-03-03 05:06:46,2015-03-03 05:10:36,1,1,Vetteru,Chrome,40.0.2214.115,Macintosh,1280x800,16.0.0,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36",Male,20-25 years old,High School,C++,Bachelor,JP - Japan,"9,(GMT+09:00) Tokyo",1-unwilling,7,5,8,8,37.75,140.46780395508,-1,
R_2a9r1p85YME4YA9,Default Response Set,Anonymous,,,84.86.231.169,0,2015-03-03 05:13:48,2015-03-03 05:15:59,1,1,jthread,Safari,8.0.3,Macintosh,1280x1024,16.0.0,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_2) AppleWebKit/600.3.18 (KHTML, like Gecko) Version/8.0.3 Safari/600.3.18",Male,26-30 years,Doctorate/PhD,C#,PhD candidate,NL - Netherlands,"1,(GMT+01:00) Amsterdam",6,4,4,2,6,51.886703491211,5.42919921875,-1,
R_3g7qpLECT13jJTy,Default Response Set,Anonymous,,,78.97.239.60,0,2015-03-03 05:22:55,2015-03-03 05:24:35,1,1,MonicaMuranyi,Chrome,37.0.2062.120,Linux x86_64,1366x768,15.0.0,1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/37.0.2062.120 Chrome/37.0.2062.120 Safari/537.36",Female,26-30 years,Undergraduate/Bachelor's degree,Java,Freelancer,RO - Romania,"2,(GMT+02:00) Bucharest",7,4,4,6,6,46.766693115234,23.600006103516,-1,
R_12DxjZKPtE4KhiD,Default Response Set,Anonymous,,,94.19.91.212,0,2015-03-03 05:38:07,2015-03-03 05:44:07,1,1,StarCuriosity,Firefox,36.0,Windows NT 6.1,1366x768,16.0.0,1,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:36.0) Gecko/20100101 Firefox/36.0,Male,20-25 years old,Postgraduate/Master of arts,C++,none,RU - Russia,"3,(GMT+03:00) Moscow",6,4,6,5,2,59.894393920898,30.264205932617,-1,
R_9nx15I5jnvObMCB,Default Response Set,Anonymous,,,202.55.113.157,0,2015-03-03 05:48:34,2015-03-03 05:56:19,1,1,EvbCFfp1XB,Firefox,35.0,Windows NT 6.3,1366x768,16.0.0,1,Mozilla/5.0 (Windows NT 6.3; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0,Male,31-40 years,Postgraduate/Master of arts,Java,employed,JP - Japan,"9,(GMT+09:00) Tokyo",10-completely willing,6,10,20,10,36.766693115234,137.33331298828,-1,
R_3dMJAk3OthfHvbe,Default Response Set,Anonymous,,,89.164.219.179,0,2015-03-03 05:56:50,2015-03-03 06:01:57,1,1,an_ant,Chrome,40.0.2214.91,Linux i686,1280x1024,16.0.0,1,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.91 Safari/537.36",Male,26-30 years,Postgraduate/Master of arts,C++,Unemployed,HR - Croatia,"1,(GMT+01:00) Zagreb",7,2,3,3,2,45.733306884766,15.966705322266,-1,
R_yPxBOYDhUSIP1OV,Default Response Set,Anonymous,,,89.229.8.58,0,2015-03-03 05:00:29,2015-03-03 06:07:18,1,1,marek.cygan,Chrome,40.0.2214.111,Linux x86_64,1920x1080,-1,1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/40.0.2214.111 Chrome/40.0.2214.111 Safari/537.36",Male,31-40 years,Doctorate/PhD,C++,Assistant professor ad the University of Warsaw,PL - Poland,"1,(GMT+01:00) Warsaw",8,6,6,3,2,53.033294677734,18.600006103516,-1,
R_2s7I7uSmQiVPaqH,Default Response Set,Anonymous,,,89.229.8.58,0,2015-03-03 06:11:25,2015-03-03 06:12:09,1,1,marek.cygan,Chrome,40.0.2214.111,Linux x86_64,1920x1080,-1,1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/40.0.2214.111 Chrome/40.0.2214.111 Safari/537.36",Male,31-40 years,Doctorate/PhD,C++,Assistant professor at the University of Warsaw,PL - Poland,"1,(GMT+01:00) Warsaw",8,6,6,3,2,53.033294677734,18.600006103516,-1,
R_2mlEOmIyQEo7E5D,Default Response Set,Anonymous,,,101.221.167.27,0,2015-03-03 06:13:48,2015-03-03 06:17:03,1,1,vishfrnds,Chrome,40.0.2214.111, Linux x86_64,1366x768,16.0.0,1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36",Male,20-25 years old,High School,C++,Student of bachelor of technology,IN - India,"5.5,(GMT+05:30) New Delhi",6,10,10,10,10,22.569702148438,88.369689941406,-1,
R_3wsowbWMUjJcqs5,Default Response Set,Anonymous,,,37.228.107.40,0,2015-03-03 06:20:08,2015-03-03 06:23:25,1,1,gogsa,Opera,9.80,Android,290x305,-1,0,Opera/9.80 (Android; Opera Mini/7.5.33361/35.7770; U; en) Presto/2.8.119 Version/11.10,Male,20-25 years old,Undergraduate/Bachelor's degree,C++,btech,IN - India,"5.5,(GMT+05:30) New Delhi",4,2,2,2,2,39.033493041992,-77.48380279541,-1,
R_3jU0hjmVTkI7DKZ,Default Response Set,Anonymous,,,114.125.62.199,0,2015-03-03 01:27:01,2015-03-03 06:36:27,1,1,izhari,Chrome,40.0.2214.115,Windows NT 6.1,1366x768,16.0.0,1,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36",Male,26-30 years,Postgraduate/Master of arts,Java,Unemployed,ID - Indonesia,"7,(GMT+07:00) Jakarta",9,12,12,12,12,-6.1750030517578,106.82861328125,-1,
R_9ueFYHXahWItVTP,Default Response Set,Anonymous,,,197.251.241.8,0,2015-03-03 07:11:25,2015-03-03 07:15:10,1,1,Euniceadu,Chrome,40.0.2214.111,Linux x86_64,1920x1080,16.0.0,1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36",Female,20-25 years old,Undergraduate/Bachelor's degree,Python,Software Engineer At DreamOval Ltd,GH - Ghana,"0,(GMT) London",4,5,5,5,5,5.5500030517578,-0.21670532226562,-1,
R_1JXQHPKPx2E2hqO,Default Response Set,Anonymous,,,220.221.220.195,0,2015-03-03 07:09:54,2015-03-03 07:19:59,1,1,lipsum,Firefox,35.0,Windows NT 6.1,1680x1050,16.0.0,1,Mozilla/5.0 (Windows NT 6.1; rv:35.0) Gecko/20100101 Firefox/35.0,Male,31-40 years,High School,C++,self-employment,JP - Japan,"9,(GMT+09:00) Tokyo",1-unwilling,8,8,8,8,38.268905639648,140.87188720703,-1,
R_1Qo73rCZ8S64QD5,Default Response Set,Anonymous,,,130.120.57.37,0,2015-03-03 07:23:23,2015-03-03 07:25:47,1,1,cup_of_tea,Firefox,35.0,Windows NT 5.1,1280x1024,14.0.0,1,Mozilla/5.0 (Windows NT 5.1; rv:35.0) Gecko/20100101 Firefox/35.0,Male,20-25 years old,Postgraduate/Master of arts,C++,Master student in computer science,FR - France,"1,(GMT+01:00) Paris",6,6,6,4,4,45.461395263672,3.9152984619141,-1,
R_wS3fEAwECCJeA6t,Default Response Set,Anonymous,,,74.125.57.44,0,2015-03-03 07:38:14,2015-03-03 07:40:17,1,1,vdave,Firefox,36.0,Ubuntu,1920x1200,-1,,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:36.0) Gecko/20100101 Firefox/36.0,Male,31-40 years,Postgraduate/Master of arts,C++,full-time employee,HU - Hungary,"1,(GMT+01:00) Budapest",3,0,8,12,2,47.36669921875,8.5500030517578,-1,
R_2fekU1taqJHaSSl,Default Response Set,Anonymous,,,58.194.180.157,0,2015-03-03 08:01:00,2015-03-03 08:02:54,1,1,xiakunxian923,Chrome,40.0.2214.115,Windows NT 6.1,1440x900,16.0.0,1,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36",Male,20-25 years old,Undergraduate/Bachelor's degree,Python,graduate student in cryptography,CN - China,"8,(GMT+08:00) Beijing",8,4,4,4,4,36.668304443359,116.99719238281,-1,
R_1MXoKn4NzQklm3n,Default Response Set,Anonymous,,,103.252.24.210,0,2015-03-03 08:44:02,2015-03-03 08:45:58,1,1,ichattopadhyaya,Firefox,36.0,Fedora,1600x900,11.2.202,1,Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:36.0) Gecko/20100101 Firefox/36.0,Male,26-30 years,Undergraduate/Bachelor's degree,Java,Employed,GB - United Kingdom,"5.5,(GMT+05:30) Chennai",5,4,4,4,4,12.983306884766,77.583312988281,-1,
R_2bOfGdBtki1ZZZ4,Default Response Set,Anonymous,,,111.93.164.201,0,2015-03-03 08:44:12,2015-03-03 08:47:14,1,1,Ritesh_Singh,Chrome,42.0.2311.11,Windows NT 6.3,1366x768,17.0.0,1,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.11 Safari/537.36",Male,<20 years old,Undergraduate/Bachelor's degree,Java,1st year b-tech degree,IN - India,"5.5,(GMT+05:30) Kolkata",10-completely willing,6,6,6,6,20.233306884766,85.833312988281,-1,
R_29aGAIY8xHLfsle,Default Response Set,Anonymous,,,116.89.85.40,0,2015-03-03 08:44:08,2015-03-03 08:47:22,1,1,zhanyi658657,Chrome,40.0.2214.111,Linux i686,1366x768,16.0.0,1,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36",Male,26-30 years,Postgraduate/Master of arts,C++,researcher,CN - China,"8,(GMT+08:00) Beijing",5,8,4,4,8,1.2931060791016,103.85580444336,-1,
R_z8Pa5gbfJD20jgl,Default Response Set,Anonymous,,,157.7.51.166,0,2015-03-03 08:54:12,2015-03-03 08:58:16,1,1,zhanghanyuan,Chrome,40.0.2214.115,Macintosh,1440x900,16.0.0,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36",Male,20-25 years old,Undergraduate/Bachelor's degree,C++,student,CN - China,"8,(GMT+08:00) Beijing",8,10,10,10,10,35.684997558594,139.75140380859,-1,
R_2rTUEQnRSZiG1TI,Default Response Set,Anonymous,,,97.124.233.56,0,2015-03-03 08:55:57,2015-03-03 08:59:07,1,1,i.am.charlie,Safari,8.0,Macintosh,1280x800,16.0.0,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10) AppleWebKit/600.1.25 (KHTML, like Gecko) Version/8.0 Safari/600.1.25",Male,26-30 years,Undergraduate/Bachelor's degree,C++,student,US - United States,"-7,(GMT-07:00) Mountain Time (US &amp; Canada)",8,6,10,10,10,40.179092407227,-105.19860076904,-1,
R_2tnjhFWdGWvCYkf,Default Response Set,Anonymous,,,193.151.40.53,0,2015-03-03 09:01:15,2015-03-03 09:03:17,1,1,sas4eka,Chrome,40.0.2214.115,Windows NT 6.1,1280x1024,16.0.0,1,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36",Male,20-25 years old,Undergraduate/Bachelor's degree,C++,Student,BY - Belarus,"2,(GMT+02:00) Minsk",7,6,5,5,8,53.899993896484,27.566696166992,-1,
R_1S5kMp0GOrX2npr,Default Response Set,Anonymous,,,193.151.40.53,0,2015-03-03 09:06:35,2015-03-03 09:08:25,1,1,hired777,Chrome,40.0.2214.115,Windows NT 6.1,1280x1024,16.0.0,1,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36",Male,20-25 years old,Undergraduate/Bachelor's degree,C++,Unemployment,BY - Belarus,"2,(GMT+02:00) Minsk",6,4,4,4,4,53.899993896484,27.566696166992,-1,
R_30kFpGDflqDrQM9,Default Response Set,Anonymous,,,193.194.132.72,0,2015-03-03 09:06:08,2015-03-03 09:08:58,1,1,ecv,Chrome,37.0.2062.124,Windows NT 6.1,1024x1280,15.0.0,1,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36",Male,51 years and above,Postgraduate/Master of arts,C++,Working,ES - Spain,"1,(GMT+01:00) Paris",7,3,3,3,8,48.803604125977,2.1342010498047,-1,
R_0qZTG8EuFSBgaIB,Default Response Set,Anonymous,,,14.139.160.234,0,2015-03-03 09:09:04,2015-03-03 09:11:30,1,1,chandan047,Chrome,39.0.2171.71, Linux x86_64,1366x768,15.0.0,1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.71 Safari/537.36",Male,20-25 years old,Undergraduate/Bachelor's degree,C++,Undergraduate,IN - India,"5.5,(GMT+05:30) Chennai",3,20,12,12,20,13.083297729492,80.283294677734,-1,
R_3Dc1zbmxTRrI2os,Default Response Set,Anonymous,,,193.151.40.53,0,2015-03-03 09:09:39,2015-03-03 09:12:03,1,1,hired777,Chrome,40.0.2214.115,Windows NT 6.1,1280x1024,16.0.0,1,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36",Male,20-25 years old,Undergraduate/Bachelor's degree,C++,unemploymed,BY - Belarus,"2,(GMT+02:00) Minsk",6,4,4,4,4,53.899993896484,27.566696166992,-1,
R_3M6h0lrRMex2R7q,Default Response Set,Anonymous,,,178.172.239.241,0,2015-03-03 09:08:25,2015-03-03 09:12:07,1,1,JK24,Chrome,40.0.2214.115,Windows NT 6.1,1920x1200,16.0.0,1,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36",Male,20-25 years old,High School,Java,employed/student,BY - Belarus,"3,(GMT+03:00) Moscow",6,10,10,10,15,53.899993896484,27.566696166992,-1,
R_yRdZRIDS0GK4qdP,Default Response Set,Anonymous,,,86.57.147.82,0,2015-03-03 09:05:10,2015-03-03 09:12:31,1,1,sabbathist,Firefox,30.0,Ubuntu,1920x1080,11.2.202,,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:30.0) Gecko/20100101 Firefox/30.0,Male,20-25 years old,Undergraduate/Bachelor's degree,Other,employee,BY - Belarus,"3,(GMT+03:00) Moscow",4,4,3,3,5,53.899993896484,27.566696166992,-1,
R_1d4Q5KBxDOEe6qt,Default Response Set,Anonymous,,,86.57.155.45,0,2015-03-03 09:11:43,2015-03-03 09:13:46,1,1,_Romka_,Chrome,38.0.2125.122,Macintosh,1920x1080,16.0.0,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.122 YaBrowser/14.12.2125.10031 Safari/537.36",Male,20-25 years old,Undergraduate/Bachelor's degree,Python,Software Engineer,BY - Belarus,"2,(GMT+02:00) Minsk",5,7,3,5,8,53.899993896484,27.566696166992,-1,
R_DFS13kRWLgaRrFL,Default Response Set,Anonymous,,,5.255.233.35,0,2015-03-03 09:13:03,2015-03-03 09:19:03,1,1,aropan,Firefox,36.0,Ubuntu,1920x1080,11.2.202,1,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:36.0) Gecko/20100101 Firefox/36.0,Male,20-25 years old,Undergraduate/Bachelor's degree,C++,,UA - Ukraine,"2,(GMT+02:00) Minsk",5,6,4,3,2,55.752197265625,37.615600585938,-1,
R_BIZsTxQ5Fyzcwed,Default Response Set,Anonymous,,,86.57.155.45,0,2015-03-03 09:15:40,2015-03-03 09:19:37,1,1,Ra16bit,Chrome,38.0.2125.122,Windows NT 6.1,1366x768,16.0.0,1,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.122 YaBrowser/14.12.2125.10034 Safari/537.36",Male,20-25 years old,Undergraduate/Bachelor's degree,C++,Employed: Software Engineer,BY - Belarus,"3,(GMT+03:00) Moscow",8,6,4,4,6,53.899993896484,27.566696166992,-1,
R_3MbRUd6xWpbM6bi,Default Response Set,Anonymous,,,86.57.155.45,0,2015-03-03 09:17:52,2015-03-03 09:20:59,1,1,Infinity.,Chrome,40.0.2214.45,Macintosh,1920x1080,16.0.0,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.45 YaBrowser/15.2.2214.2613 (beta) Safari/537.36",Male,20-25 years old,Undergraduate/Bachelor's degree,C++,Developer,BY - Belarus,"2,(GMT+02:00) Minsk",6,2,3,2,4,53.899993896484,27.566696166992,-1,
R_1AjbfZixII1P37f,Default Response Set,Anonymous,,,181.167.111.143,0,2015-03-03 09:20:18,2015-03-03 09:22:06,1,1,midrux,Chrome,40.0.2214.115,Windows NT 6.1,1600x900,16.0.0,1,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36",Male,26-30 years,Doctorate/PhD,C++,,AR - Argentina,"-3,(GMT-03:00) Buenos Aires",8,6,6,6,6,-34.603302001953,-58.38159942627,-1,
R_1f3KBUexQrB4vMl,Default Response Set,Anonymous,,,193.151.40.53,8,2015-03-03 09:22:05,2015-03-03 09:22:59,1,1,hired777,Chrome,40.0.2214.115,Windows NT 6.1,1280x1024,16.0.0,1,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36",Male,20-25 years old,Undergraduate/Bachelor's degree,C++,unemploymed,BY - Belarus,"2,(GMT+02:00) Minsk",6,4,4,4,4,53.899993896484,27.566696166992,-1,
R_2YFB40HgXEexWJi,Default Response Set,Anonymous,,,128.140.241.14,0,2015-03-03 09:21:39,2015-03-03 09:23:51,1,1,Liaksiejka,Chrome,40.0.2214.115,Windows NT 6.3,1920x1080,16.0.0,1,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36",Male,20-25 years old,Postgraduate/Master of arts,C++,Software Engineer,BY - Belarus,"2,(GMT+02:00) Minsk",6,3,3,3,3,53.899993896484,27.566696166992,-1,
R_2PtyLTnkFJywfgw,Default Response Set,Anonymous,,,73.189.183.163,0,2015-03-03 09:23:09,2015-03-03 09:26:11,1,1,rado42,Chrome,40.0.2214.115,Windows NT 6.1,1920x1080,16.0.0,1,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36",Male,51 years and above,Undergraduate/Bachelor's degree,C++,professional,BG - Bulgaria,"-8,(GMT-08:00) Pacific Time (US &amp; Canada)",2,8,3,5,3,37.372100830078,-121.86430358887,-1,
R_3CZuwo8s5FsA9wT,Default Response Set,Anonymous,,,79.105.66.83,0,2015-03-03 09:30:25,2015-03-03 09:32:32,1,1,azukun,Firefox,35.0,Windows NT 5.1,1440x900,16.0.0,1,Mozilla/5.0 (Windows NT 5.1; rv:35.0) Gecko/20100101 Firefox/35.0,Male,26-30 years,Postgraduate/Master of arts,C#,freelancer,RU - Russia,"9,(GMT+09:00) Yakutsk",9,10,10,10,10,50.279602050781,127.54049682617,-1,
R_1P2898Rsx3d6Hay,Default Response Set,Anonymous,,,93.125.84.51,0,2015-03-03 09:32:25,2015-03-03 09:35:12,1,1,c7d5a6 ,Chrome,40.0.2214.115,Linux x86_64,1680x1050,16.0.0,1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36",Male,20-25 years old,Undergraduate/Bachelor's degree,Java,developer,BY - Belarus,"2,(GMT+02:00) Minsk",8,10,10,10,10,53.899993896484,27.566696166992,-1,
R_1IviuuoLWbLrXYH,Default Response Set,Anonymous,,,46.53.201.55,0,2015-03-03 09:39:12,2015-03-03 09:43:20,1,1,dimonica,Chrome,42.0.2311.11,Windows NT 6.1,1366x768,17.0.0,1,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.11 Safari/537.36",Male,<20 years old,Undergraduate/Bachelor's degree,Java,not employed/student,BY - Belarus,"2,(GMT+02:00) Minsk",8,15,15,15,15,53.899993896484,27.566696166992,-1,
R_3emO1wDb5U9W6Ao,Default Response Set,Anonymous,,,86.57.155.45,0,2015-03-03 09:36:12,2015-03-03 09:46:41,1,1,VArt,Chrome,38.0.2125.122,Macintosh,1920x1080,16.0.0,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.122 YaBrowser/14.12.2125.10031 Safari/537.36",Male,20-25 years old,Undergraduate/Bachelor's degree,C++,"Work at Yandex, taking Master of arts degree (Computer Science)  ",BY - Belarus,"2,(GMT+02:00) Minsk",6,2,5,5,8,53.899993896484,27.566696166992,-1,
R_2652ziBz4IUUVSz,Default Response Set,Anonymous,,,49.248.205.57,0,2015-03-03 09:49:27,2015-03-03 09:52:10,1,1,mystic_coder,Safari,8.0,Macintosh,1440x900,16.0.0,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/600.1.25 (KHTML, like Gecko) Version/8.0 Safari/600.1.25",Male,31-40 years,Undergraduate/Bachelor's degree,C++,Employed,IN - India,"5.5,(GMT+05:30) Mumbai",5,3,3,3,3,18.533294677734,73.86669921875,-1,
R_1gLsLKht07Llq5s,Default Response Set,Anonymous,,,101.186.42.206,0,2015-03-03 09:49:52,2015-03-03 09:52:10,1,1,nic.lim55,Firefox,35.0,Macintosh,1920x1080,16.0.0,1,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:35.0) Gecko/20100101 Firefox/35.0,Male,<20 years old,Undergraduate/Bachelor's degree,Python,Undergraduate Student,SG - Singapore,"8,(GMT+08:00) Perth",6,5,2,1,6,-32.131500244141,115.8591003418,-1,
